ID,rTPJ-mPFC_imm,rTPJ-mPFC_del
2,0.092019398,0.028095967
3,0.090259047,0.113592143
6,0.140976825,0.187715788
9,0.019885215,-0.026072982
10,0.196303789,0.173722717
12,0.385136965,0.431794622
13,0.161371631,-0.115620407
16,0.177077024,0.09230326
18,0.157453955,0.03167896
19,0.280318143,0.247445855
22,0.086511176,0.058145126
23,0.131402222,0.135782554
24,0.144845942,-0.03107119
25,-0.124085255,0.004676871
26,0.053029448,0.285269939
29,0.172888019,0.058453865
30  0.201440651,0.067672944
34  0.235292168,0.07594259
36  0.00145906  0.093983642
38  -0.131646865,0.010477538
40,0.464939797,0.322708633
41,0.487371987,-0.141974716
42,0.067556304,0.111704666
48,0.374704006,0.092318294
49,-0.007029936,0.095167595
